step,split,loss,token_acc,learning_rate,epoch
1,train,3.05618668,0.47811405,6.7e-07,0.00060945
5,train,3.06661034,0.47572146,2e-06,0.00304727
10,train,3.03379898,0.47683986,1.97e-06,0.00609454
15,train,2.96968575,0.48269094,1.93e-06,0.00914181
20,train,2.89750919,0.48430999,1.85e-06,0.01218908
25,train,2.7777626,0.48941799,1.76e-06,0.01523635
30,train,2.67083836,0.49435474,1.64e-06,0.01828362
35,train,2.57460785,0.49827965,1.51e-06,0.0213309
40,train,2.48854618,0.50273871,1.36e-06,0.02437817
45,train,2.41557884,0.50581728,1.21e-06,0.02742544
50,train,2.34354725,0.51207656,1.05e-06,0.03047271
50,val,2.3573699,0.51191743,,0.03047271
55,train,2.32284889,0.51119316,8.9e-07,0.03351998
60,train,2.25895176,0.5178506,7.3e-07,0.03656725
65,train,2.24069309,0.51755032,5.8e-07,0.03961452
70,train,2.23365765,0.51657396,4.4e-07,0.04266179
75,train,2.22150688,0.51566483,3.1e-07,0.04570906
80,train,2.18812447,0.52186357,2e-07,0.04875633
85,train,2.18389072,0.51996602,1.2e-07,0.0518036
90,train,2.18334274,0.52182523,5e-08,0.05485087
95,train,2.16111813,0.52149146,1e-08,0.05789814
100,train,2.18158035,0.51926853,0.0,0.06094542
100,val,2.204427,0.52143828,,0.06094542
